Control,Sham ,Vehicle,SFN,SFN-NPs
1.126389971,0.851385345,1.08123289,0.426646019,0.677896092
0.930766691,1.095509052,1.346685452,0.485698797,0.623780857
0.973914481,1.159358369,0.847721731,0.425236268,0.577108277
1.097456384,1.010770964,1.094848581,0.349399281,0.930579979
0.871472473,1.261262729,1.018782352,0.518988238,0.648641194
,,,,
0.973710508,0.943898187,1.048999364,0.884426477,0.809056204
1.05572829,1.02510069,1.507898672,0.779984004,0.561364244
0.753258894,1.255319609,1.382157897,0.650414407,0.882481362
0.958301931,0.963087013,1.114357222,0.481794834,0.574037183
1.259000377,0.986902466,0.725786117,0.536481012,0.688890102
,,,,
1.13776506,1.475882554,0.91719222,0.519540659,0.698643348
0.98037604,1.318677175,0.788551654,0.656721219,0.719579732
1.107504374,0.909029504,1.022713878,0.474471692,0.618166356
0.978951875,0.897487936,0.783054789,0.605656807,0.664652591
0.795402651,1.129465602,0.855153593,0.510142771,0.504200107
,,,,
1.055620984,0.927570395,0.856997258,0.55246883,0.541403719
0.981263378,1.031808726,0.810980883,0.649539217,0.566263427
1.151917224,0.988413907,1.149625717,0.58944652,0.415771765
0.925341112,0.986816128,0.866649163,0.542368348,0.503536922
0.885857301,1.045761783,1.130450449,0.567012279,0.477406529
,,,,
2.811088885,3.524203472,1.928529476,0.872483849,0.894858046
2.909951375,2.576532724,1.815397656,1.211515774,0.789360513
3.627073622,3.430400843,1.884125809,1.032660359,1.087747995
3.180552906,1.965136675,1.762753898,1.075330847,0.727072803
2.145726875,2.463532118,1.429396223,0.891475519,1.17251
,,,,
2.760727814,2.561870927,1.179773394,1.197480823,0.66203436
2.568679593,2.241667445,2.531584309,1.035985811,0.769023824
2.768414064,1.856813065,2.301603347,1.100465866,0.901743547
2.659571559,2.273673557,2.245836796,0.966913542,0.773240111
1.851605572,1.96863662,2.149782989,0.974056383,0.637074467
,,,,
3.079233321,2.243164081,2.440623291,1.102099407,0.876937417
2.744448432,2.578279403,1.657649953,0.937439093,0.769268312
2.226311624,2.078344725,2.490096831,0.922615427,0.906874578
2.690602012,2.856782186,1.780465137,0.974319284,1.059126415
2.739563378,2.212609919,1.812365484,0.903050193,0.894632995
,,,,
2.013427476,1.789005914,1.989880637,0.757632825,0.769205732
1.961537801,2.193102147,1.825410646,0.681846341,0.518152023
1.666730284,2.23424093,2.03324062,0.812315794,0.652768095
1.893133195,1.825447022,1.757237519,0.9207075,0.651851689
1.733024593,2.069826141,1.779509539,0.701049627,0.452414236
